Time,Theoretical,Seven_day_modulated,Fourteen_day_modulated,Twentyone_day_modulated,Different_day_modulated
31,134.1944136804369,149.2641711742532,183.85515312292438,150.6063811130793,149.2641711742532
32,143.05576131090544,141.7354221228239,188.54170402254138,140.3045811558141,141.7354221228239
33,151.9867649696244,162.11720094292988,209.61970343053474,154.18791633459767,162.11720094292988
34,160.95387340588073,181.56429473311277,212.5819796950634,158.78846815063054,181.56429473311277
35,169.91911007253492,146.14510191730133,146.14510191730133,101.99882214392349,146.14510191730133
36,178.85197101511383,206.88345449786,172.41659778679912,143.38655275916324,206.88345449786
37,187.71734739612785,194.8504977027445,136.18062757666294,124.05189169050792,194.8504977027445
38,196.4852248833749,212.3270004895257,148.03918194418802,150.63597961310944,212.3270004895257
39,205.12772253310945,209.28044543016762,156.40514941216932,168.28797866910887,209.28044543016762
40,213.61259236434947,208.81379389660222,175.3716292631465,189.37466681162218,208.81379389660222
41,221.91403825035914,213.37596348572166,198.37044620255847,207.63282069156745,213.37596348572166
42,230.00829073461531,225.6766818102283,225.6766818102283,225.6766818102283,225.6766818102283
43,237.87423026376126,269.9360650085219,286.0207881814428,276.0922581102536,269.9360650085219
44,245.497186999374,296.12598719669825,334.55985129530893,318.4666692897564,296.12598719669825
45,252.8555907653505,260.2800494250465,325.458047047312,310.8103935043236,260.2800494250465
46,259.93379499428426,260.01712578105617,345.0646231504498,341.6292733763601,260.01712578105617
47,266.7191532039717,238.18030354298742,321.54168860237513,338.7748650235364,238.18030354298742
48,273.202543749561,265.92211020759703,318.5714205566439,362.91581386525434,265.92211020759703
49,279.3743841267863,284.56737084512287,284.56737084512287,357.15096499125156,284.56737084512287
50,285.22768499427997,302.7957254569716,247.82903041342246,343.1569553701577,322.0824230925204
51,290.75810428513137,326.0803070111636,235.20569977246032,341.2494157261015,371.60000360016323
52,295.96036633994015,327.2993304314755,230.4643325879118,330.2595203105121,403.5883458145311
53,300.83707881486566,306.61713768403774,229.07106346699285,303.6081710208332,405.0477425605063
54,305.3922827938426,272.05409952024473,224.24334601579437,256.12151270622434,367.5025267303978
55,309.6229032547807,278.8721622240784,257.93589400651217,235.05887956568228,338.5400997948832
56,313.5334978828047,292.9034868454019,292.9034868454019,211.44509461423092,292.9034868454019
57,317.12625492802977,320.3341284226717,341.7777627992349,207.746413936571,259.220207642922
58,320.4065669167493,341.9736939627937,392.13501189761854,221.13063598476387,241.83264717461014
59,323.3823717599605,330.42831882146953,413.78584077245966,228.89504241786182,224.6211404506529
60,326.058015431761,322.99432335371785,429.6769430966111,257.83529855342124,238.94710695558976
61,328.4542278046921,299.46219073264024,402.11848305174425,269.5722698940596,248.0409695432836
62,330.58134498372743,329.1041524340232,392.81102568923075,320.5486960767144,306.7507036628001
63,332.4418232727806,318.7539938260411,318.7539938260411,318.7539938260411,318.7539938260411
64,334.03924734444814,350.2291283517465,285.85587706049415,358.8740753387713,372.8163956503886
65,335.38978921027785,289.84694742807676,185.0229892402531,320.36801673069044,342.3539669019999
66,336.5051306751598,289.83262321641763,179.73182152376955,357.0793864222086,376.57276821633275
67,337.4141572325717,323.77236510062886,236.79790243892808,429.7112408109429,434.1705903497325
68,338.13639645878015,296.4054730975387,243.46845794418851,423.93543153427515,402.0878660160478
69,338.69550449096084,291.5838634724941,268.68174656975435,411.8291984606307,356.8544297162619
70,339.0891779894364,374.9146332757254,374.9146332757254,463.01258596189587,374.9146332757254
71,339.3433424592972,373.6569957651368,396.60291856635513,421.6758781705506,308.2615836038212
72,339.5221905684471,370.25726388829173,423.4112323319447,387.97043832423475,264.1417497821916
73,339.6709265776594,331.6303968672213,419.18658171494496,335.02777892716665,220.4937813486112
74,339.8059901561201,352.9583554346481,464.13916228026164,349.5596224713945,265.3673555623916
75,339.9497695111416,272.2465866767187,378.4957378780821,254.51110506732007,219.02567852114564
76,340.165649220353,313.08839357674003,378.6422738228355,264.953150404163,290.08686754098835
77,340.5002273454702,388.89900002506624,388.89900002506624,300.4344459624001,388.89900002506624
78,341.0131943579467,341.226810868731,275.5095988089139,220.15863828529424,364.285646722783
79,341.80995029679207,413.44219775335966,306.61165880803446,284.52673875181233,466.9543269057531
